,mean
,depth
wellid,
312102109553701,136.85
312103109531801,191.725
312103110082501,33.85
312103110325601,38.2
312104110381101,57.22
312105109551301,75.0
312106110041301,171.77833333333334
312107109350401,9.2
312107109362601,50.75
312107109384701,104.575
312107109552101,156.7
312108109271701,106.60000000000001
312108109345601,12.781111111111109
312108109522301,31.5
312108109552101,158.3
312109110352501,6.913593750000002
312109110551201,25.0
312109110580401,306.6666666666667
312110109362201,52.5
312110109362701,258.7
312110110081601,34.69714285714286
312110110083401,48.03333333333333
312110110123601,423.1666666666667
312111109240701,73.52499999999999
312111110573201,242.4425
312112109363401,48.0
312112109533201,147.83333333333334
312112110140901,85.0
312113109363401,58.5
312115110551301,22.0
312116109334601,57.479375
312116110351701,5.455
312116110554301,12.0
312117109023701,9.11
312117109154001,0.3333333333333333
312117110364701,14.225
312118109384601,101.05
312118110364701,9.893333333333333
312119109181101,48.5
312119109524801,179.7
312119109564801,148.6
312119110351701,1.765913043478262
312120109181101,50.05
312120110070701,35.483333333333334
312120110100701,135.92857142857142
312121110482401,259.244
312121110504001,7.18102564102564
312121110504101,5.5
312122109220201,37.333333333333336
312122109361901,42.0
312122109363201,61.0
312122110490501,17.0
312123109351101,182.35000000000002
312123109351201,158.65
312123109390201,94.95722222222223
312123110484201,354.58780487804876
312123110503701,11.0
312123110554301,10.7
312124109084001,207.5
312124109585501,202.75
312124109585801,105.85
312124110493301,86.2492537313433
312124110554701,16.0
312125109220101,60.0
312125109364101,87.35
312125109372201,61.08
312125110554701,10.55
312126109320601,273.7
312126109344701,185.675
312126109530201,183.1
312126110505001,5.0
312127109354901,176.36666666666667
312127110064601,74.615
312127110073901,15.9
312127110493601,80.05000000000001
312128110081701,40.65
312128110350201,7.4
312129109555601,153.35
312131109570201,176.75
312131110105101,199.94444444444446
312132109532501,74.2
312132109582301,107.7
312133109195401,181.86666666666667
312133110570301,149.375
312134109332501,218.65
312134110554401,21.2
312136109282201,86.23
312136109375301,72.54
312136110504001,8.838863636363635
312137109150701,28.066666666666666
312137109320501,279.38
312139109150601,24.066666666666666
312139109150701,31.75
312140109331901,88.2
312140109570701,290.7
312141110072501,14.041666666666666
312141110082001,50.56666666666666
312142109521801,24.0
312143110565201,114.6
312144109331201,230.10000000000002
312145109452401,166.87
312145110104301,198.3
312146110563601,180.0
312146110570601,120.0
312147109332201,149.5
312147110482801,91.9951111111111
312148110001101,203.3
312148111021101,659.7666666666668
312149109384501,103.05000000000001
312149109433001,192.4
312149110001201,212.61999999999998
312149110085001,86.5
312149110563201,78.95
312150109313601,327.0
312151109354301,25.0
312151109432001,242.8
312151110001001,221.45
312152109354301,76.60966292134833
312152110345901,9.87
312152110350201,10.16
312153109284701,32.775000000000006
312153109435101,156.5
312153110031001,122.5
312153110081701,55.0
312153110231101,10.3
312153110334801,50.1
312154109315801,220.0
312154109394401,124.78
312154110015401,176.7
312154110074901,31.48
312155109364601,60.7
312155109411601,180.935
312155109412001,177.65
312156109345001,208.7
312156109401801,150.25
312156109433101,190.9
312156110555201,18.0
312159110064501,15.0
312159110081801,60.82857142857143
312200109412601,166.14
312202109312201,160.3
312202109392001,113.5
312202109394401,107.60750000000002
312202110555801,21.0
312203109343901,54.8
312203109375201,78.15
312203110345801,15.66
312204109343901,151.04999999999998
312204109394301,128.7
312204110575601,279.8958695652175
312204110575801,304.975
312205110070901,18.495714285714286
312207109404801,170.33333333333334
312207110001601,275.71999999999997
312207110400301,204.7745161290322
312207110555001,22.03333333333333
312207110563001,70.3
312208110510901,12.555
312208110554501,40.07
312208110555001,24.0
312209109364501,56.474999999999994
312210110510801,5.98
