wellid,Measurements
312917109404501,1
312919109414101,1
312919109415001,4
312919110192901,2
312921110114801,5
312921110163801,1
312922109452201,3
312922109452301,3
312922110084601,1
312923109434901,38
312923110152201,2
312923110593001,1
312924110104601,3
312925109435201,1
312925109435301,10
312926111032701,2
312926111040801,3
312927111002601,2
312927111032801,1
312928111032801,3
312928111333201,1
312928111333301,1
312929110120801,4
312929110594201,28
312930109245001,2
312930109413801,4
312932109420001,1
312934110364701,1
312935109332201,2
312935109595801,1
312938109252001,1
312938110164201,1
312938111030101,1
312938111165201,1
312939110122101,1
312939110304301,2
312939111324201,3
312940109250701,2
312940110001401,1
312940110304001,1
312940110341501,15
312940111334601,4
312941109325801,1
312941110142801,5
312941110341601,31
312943109404601,11
312943110165401,15
312943110511301,5
312943110594501,1
312944109423202,28
312944109424501,7
312944110152001,5
312944110165501,3
312945109245401,3
312945109451801,1
312945109452501,2
312946109413901,1
312946111025301,23
312946111334501,61
312947109433701,1
312948109415101,4
312948109431201,2
312948110112301,2
312948110115601,3
312948110120901,1
312949111025701,1
312950111025701,6
312950111270201,3
312953110145701,4
312953110485101,1
312954109250101,2
312956109415501,1
312956110111001,2
312958109420901,1
312959109324201,1
312959110045801,3
312959110120901,3
313000109433601,1
313001109312501,3
313001109404501,1
313001109434001,3
313001110122101,1
313002110115901,3
313002110120001,4
313003110595301,15
313004110290201,2
313005110075001,3
313006110485601,1
313008109445501,2
313008110483701,4
313008110483801,4
313008111003001,7
313009110111101,48
313010109443601,1
313010110115401,4
313010110122801,5
313010110155301,13
313010110404101,3
313010110595901,33
313011110120501,3
313012110114601,2
313012111165201,1
313013109433001,2
313013110421501,4
313015109445101,1
313015109445201,1
313015110112401,1
313015111260601,3
313016109263601,1
313016109263701,3
313016110103901,1
313017109220001,3
313018110091801,1
313020109324201,9
313021110352401,3
313022109333601,2
313023109325701,2
313023109435101,2
313024109213301,4
313024110050701,4
313027109335001,3
313028110105501,1
313028110105901,4
313029109445101,1
313030110111701,4
313030111005801,6
313031109405201,1
313031111005501,4
313031111005701,27
313033110405501,5
313034109470701,3
313035109324201,1
313035109374401,1
313035109401601,1
313035109441401,1
313036110110201,1
313036110291501,1
313037110045601,1
313037110152801,9
313038109435301,2
313038110005701,1
313038110152701,30
313039109384901,6
313040109075201,1
313040109385001,1
313040109435701,1
313040110292201,3
313041110144301,23
313042109435501,1
313042109470201,21
313043110291401,2
313043110292301,3
313044110124201,2
313044110302101,4
313047110052201,2
313048110115701,4
313050109433801,10
313051109412101,4
313051109433501,1
313051110111201,3
313052110075501,19
313055110105201,4
313057109145901,14
313058109404401,4
313058110470901,1
313059109264501,3
313059109404301,4
313101109160701,2
313101109412701,2
313101110282801,4
313102110303401,4
313103110231701,1
313103111003901,2
313103111004001,27
313103111005601,6
313104109074901,2
313104109391801,5
313104109401201,3
313104110302901,31
313105109455401,1
313105111210401,1
313106109461101,1
313106110272501,4
313107109461601,48
313107110323801,5
313108109354301,4
313109109294801,2
313109110112301,5
313109110304101,3
313110110080701,6
313111111384001,2
313112111210401,1
313112111393501,2
313114110110201,3
313115109412101,3
313115110111801,1
313115110112901,2
313116111162301,4
313120111005801,25
313121110420201,1
313124110153301,5
313125109392001,4
313125109444001,14
313125109444101,2
313125111004701,1
313126109385401,5
313126109395001,4
313126110383001,1
313127109415501,1
313127110303301,4
313128109402801,4
313129110374001,1
313131109414401,3
313132111010701,4
313134109415201,1
313135109351201,2
313135109415301,17
313135109455501,2
313136109312401,4
313136109321501,16
313136109445201,1
313137110303601,2
313137111004301,50
313140111011701,1
313141110314301,1
313143109412301,14
313144111010701,3
313145109422101,2
313145110482801,2
313145111010601,6
313145111010701,1
313145111020501,3
313146109260801,1
313147109455401,1
313147110082801,1
313147110430301,5
313148109270801,1
313148111011201,7
313149110160601,3
313150110463701,3
313150111005801,37
313151109180501,1
313151109420201,2
313152109385001,1
313152109394801,1
313152110121201,3
313152111013801,2
313153109261001,1
313154109334501,2
313154109400801,1
313154109401901,2
313154109423801,2
313155109452901,1
313155109454901,3
313155110081501,9
313155110161901,2
313156109414501,3
313156111005101,3
313156111011301,5
313157109273501,1
313158109180401,2
313158111274201,3
313159111341201,3
313200110061001,1
313200110162401,1
313200110165701,5
313200110460201,1
313201110303401,3
313201110314001,3
313202110160601,1
313202110160701,1
313206111203801,3
313207109402201,14
313207110161501,1
313207111184201,6
313208110153501,1
313208110303501,3
313208111020301,1
313210109394801,2
313210109402101,1
313210109452301,2
313210110452401,1
313211109415201,3
313211110452501,1
313211111014001,22
313212109415601,3
313212110450201,1
313213109271101,2
313213109372901,3
313213110451601,1
313213111021001,1
313215110320501,2
313215110455101,1
313216109443801,1
313217109392001,4
313217111014101,26
313218109382101,1
313218109385001,1
313218110451701,1
313218110454101,1
313219109415301,3
313219110314601,3
313219110315001,2
313219110433501,8
313219110444001,1
313219110451601,1
313220110313001,3
313221110115701,6
313221110320301,2
313221110435701,20
313221110451801,1
313222110113301,6
313222110153401,6
313223110114001,5
313223110451101,1
313224109403401,4
313224110154301,19
313224110451401,1
313224110452501,1
313225109400901,1
313225109405501,1
313225110445501,1
313225110451501,1
313225110452501,1
313225110453301,58
313225110481901,2
313226110172701,7
313226110442301,2
313226110442801,2
313226110453401,1
313226110453901,1
313227110443301,1
313228109074701,1
313228109310301,3
313229111023901,1
313230109402001,3
313231110434602,3
313231110450801,1
313231110453101,1
313232110152801,1
313232110443001,1
313232110445501,1
313232110445901,2
313232110450901,1
313233109425801,2
313233111022601,2
313234109431001,17
313234109440601,1
313234110450201,3
313234111021201,2
313234111034101,1
313235110304901,1
313235110445601,1
313235111280301,1
313236110445701,1
313236111014101,11
313236111162801,2
313238109464701,1
313239109393901,2
313239109581801,1
313239110154301,1
313240109412601,1
313240109441801,1
313240109445901,1
313240110442501,1
313241109445801,1
313242109415501,45
313242109430801,1
313242111020301,1
313242111100301,1
313243109441701,3
313244109415901,3
313244110171501,3
313245109392501,2
313245110493301,1
313246109375201,4
313246109395301,2
313246110151301,13
313246110162101,12
313246110180901,1
313246110443301,1
313246111200901,4
313247109401901,5
313247109420501,2
313247109455501,3
313247110060501,27
313247110440701,1
313247110450101,15
313248109415301,1
313248109450101,1
313248110440801,1
313249110450001,15
313250110082301,14
313250111265201,1
313251110211901,1
313251111030601,1
313252110081701,1
313252110082901,3
313252111030601,5
313252111350601,2
313253110162401,16
313254110151101,10
313254111345801,2
313255110145401,7
313256109372201,2
313258109401901,2
313258109454101,4
313258110152801,1
313300110330801,2
313300111174801,1
313301109423501,1
313301111023201,8
313302110301301,2
313302111054501,2
313303109213401,1
313304110115101,3
313305109213401,1
313305110314401,4
313305111174901,14
313306109452001,2
313307110181601,7
313307110310001,2
313307110440101,1
313309109283301,2
313309110094301,13
313309110170701,2
313310109375001,6
313310109392301,4
313310109395501,33
313310111182401,1
313311109411201,3
313312109381701,5
313312109422401,3
313312109453001,3
313312110082301,14
313312110082302,14
313312110082303,13
313312110082501,14
313312110082502,14
313312110182401,3
313312110182701,1
313312110182801,1
313312111021901,2
313313109422301,13
313313109454201,2
313313110182301,1
313313110182401,1
313314109453001,2
313315109402101,2
313315110435701,3
313315111020801,1
313315111360201,1
313317110165201,36
313317111021501,5
313318109353801,7
313318109385101,14
313318111192901,1
313319110152001,4
313320110152001,1
313320110165301,26
313321110124801,11
313321110155301,2
313321110175401,11
313322109442201,3
313322110175401,7
313322111025101,4
313324111124501,1
313325110135201,5
313325110304801,3
313325110483801,2
313325111012001,1
313325111021901,13
313325111383801,1
313326110150601,12
313326110305101,2
313326110403901,3
313326111022401,1
313326111265001,1
313327109425401,4
313327109481201,3
313328109435201,1
313328110155801,1
313330111175201,4
313330111185201,3
313332109430001,61
313332110172301,13
313332111194701,3
313335109123401,1
313335109324001,5
313336110270001,2
313336111023501,4
313336111023601,4
313336111205201,1
313337109452801,1
313338109381901,3
313338109412501,10
313338110114801,1
313338110185601,24
313339109385201,3
313339109392401,5
313339109413501,4
313339110165401,14
313339110180301,8
313340109374801,3
313340110132101,7
313340110151301,1
313340110285901,3
313341110132101,21
313342109431201,1
313342110182701,4
313343109425401,4
313343109442301,4
313343110182701,5
313343111023101,1
313344110291101,6
313344111023301,2
313344111441201,2
313345109450401,1
313345110132301,5
313345111024801,12
313345111024802,12
313346111024701,8
313347110150701,36
313347111024601,2
313347111031501,1
313348109183501,2
313349110314201,3
313350110434501,1
313350111024401,1
313351110435201,17
313352110184001,5
313352110184801,14
313352110283901,2
313352110284301,1
313353109363401,4
313353110511401,4
313354111183801,4
313355111021501,1
313356109422301,1
313356110112201,3
313358109395401,1
313358109400901,1
313358109402401,1
313400111031401,1
313401111254101,5
313402109412401,1
313402111021801,3
313403109392201,4
313403109412501,1
313404109425601,11
313404110173101,27
313405109385001,5
313405109443001,1
313405110124101,1
313405110124201,1
313406109445401,13
313406110123301,1
313406110165201,1
313406111174601,4
313406111330201,34
313408109404801,1
313408109435501,3
313408110133601,6
313409109405001,5
313409109444401,1
313410109444201,4
313411109414701,1
313411111023401,8
313411111030001,2
313412109412601,4
313412109414801,1
313413109364201,3
313413111031401,1
313414111031301,1
313414111100501,3
313417109395201,21
313417110141401,30
313418109445301,3
313419110013601,20
313419110190001,6
313420109412101,4
