wellid,YEAR,AF Pumped
321531110574601,2011,7.5
321531110574601,2012,12.23
321531110574601,2013,11.94
321531110574601,2014,17.22
321531110574601,2015,13.32
321531110574601,2016,8.7
321531110574601,2017,7.4
321531110574601,2018,9.8
321531110574601,2019,10.53
321531111002201,1984,71.0
321531111002201,1985,3.85
321531111002201,1986,8.42
321531111002201,1987,6.11
321531111002201,1988,2.73
321531111002201,1989,1.97
321531111002201,1990,1.26
321531111002201,1991,3.88
321531111002201,1992,4.52
321531111002201,1993,4.49
321531111002201,1994,2.5
321531111002201,1995,7.86
321531111002201,1996,1.78
321531111002201,1997,4.24
321531111002201,1999,0.06
321531111002201,2000,0.26
321531111002201,2001,0.42
321531111002201,2002,0.17
321531111002201,2004,0.4
321531111002201,2005,0.038
321531111002201,2006,0.0935
321531111002201,2007,0.057499999999999996
321543110491001,1984,30.1
321543110491001,1985,93.9
321543110491001,1986,80.1
321543110491001,1987,162.9
321543110491001,1988,159.6
321543110491001,1989,284.86
321543110491001,1990,296.35
321543110491001,1991,204.0
321543110491001,1992,144.0
321543110491001,1993,331.0
321543110491001,1994,406.0
321543110491001,1995,350.0
321543110491001,1996,308.0
321543110491001,1997,341.0
321543110491001,1998,280.0
321543110491001,1999,395.3
321543110491001,2000,400.2
321543110491001,2001,357.9
321543110491001,2002,530.1
321543110491001,2003,429.4
321543110491001,2004,152.95
321543110491001,2005,157.07
321543110491001,2006,284.17
321543110491001,2007,208.48
321543110491001,2008,81.2275
321543110491001,2009,165.92
321543110491001,2010,103.8
321543110491001,2011,100.54
321543110491001,2012,119.08
321543110491001,2013,90.9
321543110491001,2014,107.16
321543110491001,2015,97.5
321543110491001,2016,143.36
321543110491001,2017,231.73
321543110491001,2018,256.15
321543110491001,2019,214.18
321547110512701,1984,245.07
321547110512701,1985,201.36
321547110512701,1986,208.75
321547110512701,1987,125.37
321547110512701,1988,188.16
321547110512701,1989,234.6
321547110512701,1990,286.75
321547110512701,1991,210.59
321547110512701,1992,182.97
321547110512701,1993,112.3
321547110512701,1994,152.9
321547110512701,1995,126.3
321547110512701,1996,130.1
321547110512701,1997,96.8
321547110512701,1998,289.0
321547110512701,1999,218.1
321547110512701,2000,186.0
321547110512701,2001,179.45
321547110512701,2002,188.9
321547110512701,2003,128.5
321547110512701,2004,182.19
321547110512701,2005,146.84
321547110512701,2006,100.16
321547110512701,2007,108.02
321547110512701,2008,81.0
321547110512701,2009,92.71
321547110512701,2010,55.62
321547110512701,2011,147.8
321547110512701,2012,64.8
321547110512701,2013,86.6
321547110512701,2014,106.9
321547110512701,2015,98.08
321547110512701,2017,107.26
321547110512701,2018,98.53
321547110512701,2019,91.228
321559110591001,1984,68.32
321559110591001,1985,172.88
321559110591001,1986,185.11
321559110591001,1987,336.38
321559110591001,1988,413.55
321559110591001,1989,129.08
321559110591001,1990,16.15
321559110591001,1991,1.0
321559110591001,1992,1.3
321559110591001,1993,508.12
321559110591001,1994,359.1
321559110591001,1995,125.38
321559110591001,1996,110.05
321559110591001,1997,290.51
321559110591001,1998,362.0
321559110591001,1999,509.0
321559110591001,2000,513.0
321559110591001,2001,323.0
321559110591001,2002,509.25
321559110591001,2003,461.9
321559110591001,2004,572.08
321559110591001,2005,329.03
321559110591001,2006,397.41
321559110591001,2007,220.79
321559110591001,2008,197.0
321559110591001,2009,278.37
321559110591001,2010,88.265
321559110591001,2011,135.45
321559110591001,2012,125.76
321559110591001,2013,134.56
321559110591001,2014,321.74
321559110591001,2015,380.24
321559110591001,2016,236.1
321559110591001,2017,247.0
321559110591001,2018,200.8
321559110591001,2019,71.05
321604110593601,1984,16.74
321604110593601,1985,18.86
321604110593601,1986,7.35
321604110593601,1987,0.02
321605110501401,1984,125.1
321605110501401,1985,138.36
321605110501401,1986,245.27
321605110501401,1987,229.46
321605110501401,1988,302.01
321605110501401,1989,217.6
321605110501401,1990,205.1
321605110501401,1991,149.0
321605110501401,1992,230.0
321605110501401,1993,343.0
321605110501401,1994,267.0
321605110501401,1995,272.0
321605110501401,1996,323.0
321605110501401,1997,198.0
321605110501401,1998,188.0
321605110501401,1999,393.8
321605110501401,2000,299.5
